Type;FSQ;
Version;4.75;
Date;08.Jan 18;
Mode;ANALYZER;
Center Freq;6489000000.000000;Hz
Freq Offset;0.000000;Hz
Span;10000000.000000;Hz
x-Axis;LIN;
Start;6484000000.000000;Hz
Stop;6494000000.000000;Hz
Ref Level;0.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;25.000000;dB
El Att;0.000000;dB
RBW;30000.000000;Hz
VBW;100000.000000;Hz
SWT;0.030000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;625;
6484000000;-74.393508911132813;-96.818527221679688
6484016025.6410255;-64.380958557128906;-74.96246337890625
6484032051.2820511;-66.667755126953125;-99.317298889160156
6484048076.9230766;-70.772415161132813;-77.19708251953125
6484064102.5641022;-68.083114624023437;-77.33154296875
6484080128.2051287;-64.217750549316406;-82.222846984863281
6484096153.8461542;-71.551376342773438;-83.613494873046875
6484112179.4871798;-69.402603149414062;-102.83912658691406
6484128205.1282053;-66.317626953125;-90.004981994628906
6484144230.7692308;-65.713790893554687;-83.098426818847656
6484160256.4102564;-69.375457763671875;-80.579933166503906
6484176282.0512819;-68.106513977050781;-90.004981994628906
6484192307.6923075;-64.161048889160156;-96.443534851074219
6484208333.333333;-64.045806884765625;-108.85972595214844
6484224358.9743586;-65.420036315917969;-65.420036315917969
6484240384.6153851;-65.6007080078125;-80.119644165039063
6484256410.2564106;-67.199798583984375;-75.483238220214844
6484272435.8974361;-71.090187072753906;-94.383857727050781
6484288461.5384617;-71.502754211425781;-78.567207336425781
6484304487.1794872;-69.617355346679688;-87.985549926757813
6484320512.8205128;-68.300750732421875;-85.270042419433594
6484336538.4615383;-66.759544372558594;-82.967811584472656
6484352564.1025639;-67.140907287597656;-82.294532775878906
6484368589.7435894;-66.409629821777344;-98.200141906738281
6484384615.3846149;-67.028457641601562;-100.59965515136719
6484400641.0256414;-70.785163879394531;-92.640853881835938
6484416666.666667;-66.215286254882813;-79.807762145996094
6484432692.3076925;-68.947021484375;-97.077827453613281
6484448717.9487181;-67.335914611816406;-91.057228088378906
6484464743.5897436;-67.517868041992187;-78.536018371582031
6484480769.2307692;-71.156494140625;-85.864479064941406
6484496794.8717947;-67.921104431152344;-87.107437133789063
6484512820.5128202;-63.268535614013672;-80.34674072265625
6484528846.1538458;-69.009178161621094;-88.460304260253906
6484544871.7948713;-66.039955139160156;-87.233627319335938
6484560897.4358978;-66.679679870605469;-89.440765380859375
