Type;FSQ;
Version;4.75;
Date;08.Jan 18;
Mode;ANALYZER;
Center Freq;3993600000.000000;Hz
Freq Offset;0.000000;Hz
Span;10000000.000000;Hz
x-Axis;LIN;
Start;3988600000.000000;Hz
Stop;3998600000.000000;Hz
Ref Level;0.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;25.000000;dB
El Att;0.000000;dB
RBW;30000.000000;Hz
VBW;100000.000000;Hz
SWT;0.030000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;625;
3988600000;-68.722854614257813;-79.753868103027344
3988616025.6410255;-71.385795593261719;-71.385795593261719
3988632051.2820511;-71.921348571777344;-101.21302795410156
3988648076.9230771;-70.478164672851562;-79.898338317871094
3988664102.5641026;-71.994338989257813;-81.128700256347656
3988680128.2051282;-73.626472473144531;-82.967811584472656
3988696153.8461537;-73.203529357910156;-90.122360229492188
3988712179.4871793;-71.39947509765625;-94.579048156738281
3988728205.1282053;-69.33758544921875;-69.33758544921875
3988744230.7692308;-73.886848449707031;-107.89363098144531
3988760256.4102564;-71.037506103515625;-84.250747680664062
3988776282.0512819;-75.266891479492188;-127.44810485839844
3988792307.6923075;-74.809089660644531;-93.044921875
3988808333.3333335;-73.203529357910156;-81.941879272460938
3988824358.974359;-71.812995910644531;-88.315132141113281
3988840384.6153846;-70.211448669433594;-79.420097351074219
3988856410.2564101;-69.375457763671875;-97.762107849121094
3988872435.8974357;-73.203529357910156;-87.448104858398438
3988888461.5384617;-72.664573669433594;-92.881027221679688
3988904487.1794872;-70.361984252929688;-78.381736755371094
3988920512.8205128;-72.58575439453125;-95.406906127929688
3988936538.4615383;-68.834220886230469;-81.086837768554687
3988952564.1025643;-73.22039794921875;-78.536018371582031
3988968589.7435899;-69.484573364257813;-77.565010070800781
3988984615.3846154;-67.636886596679687;-78.804756164550781
3989000641.025641;-69.321403503417969;-99.664787292480469
3989016666.6666665;-66.876678466796875;-104.22074890136719
3989032692.3076925;-70.602165222167969;-80.779159545898438
3989048717.9487181;-68.82403564453125;-68.82403564453125
3989064743.5897436;-71.037506103515625;-77.634895324707031
3989080769.2307692;-71.972373962402344;-78.489448547363281
3989096794.8717947;-72.224586486816406;-88.078445434570313
3989112820.5128207;-75.014198303222656;-98.50494384765625
3989128846.1538463;-69.113761901855469;-88.315132141113281
3989144871.7948718;-69.166534423828125;-89.606216430664063
3989160897.4358974;-70.092864990234375;-89.332183837890625
